University,URL
Pennsylvania State University Abington,abington.psu.edu
Adrian College,adrian.edu
Allegheny College,allegheny.edu
Southern Christian University,amridgeuniversity.edu
Asbury Theological Seminary,asburyseminary.edu
Austin Graduate School of Theology,austingrad.edu
Barnard College,barnard.edu
Belmont Abbey College,belmontabbeycollege.edu
University of California Berkeley,berkeley.edu
Berkeley College,berkeleycollege.edu
Blackburn College,blackburn.edu
Baptist Missionary Association Theological Seminary,bmats.edu
Bowie State University,bowiestate.edu
Pennsylvania State University Delaware County,brandywine.psu.edu
Brevard College,brevard.edu
Brigham Young University-Hawaii,byuh.edu
Philadelphia Biblical University,cairn.edu
California Institute of the Arts,calarts.edu
Arizona State University Polytechnic Campus,campus.asu.edu
Arizona State University West,campus.asu.edu
Capitol College,captechu.edu
Catawba College,catawba.edu
Cincinnati Christian University,ccuniversity.edu
Church Divinity School of the Pacific,cdsp.edu
Ecole Centrale de Nantes,centralenantesetudes.fr
Claremont Graduate University,cgu.edu
Chowan College,chowan.edu
Ball State University,cms.bsu.edu
Christopher Newport University,cnu.edu
Corcoran College of Art and Design,corcoran.gwu.edu
Cranbrook Academy of Art,cranbrookart.edu
California State University Monterey Bay,csumb.edu
Dartmouth College,dartmouth.edu
Denison University,denison.edu
Dixie State College,dixie.edu
Dakota State University,dsu.edu
Duke University,duke.edu
College of Eastern Utah,eastern.usu.edu
Laura and Alvin Siegal College of Judaic Studies,ech.case.edu
Polytechnic University of New York,engineering.nyu.edu
Purdue University School of Technology at Indianapolis,engr.iupui.edu
Ecole Nationale Superieure d'Ingenieurs Electriciens de Grenoble,ense3.grenoble-inp.fr
Evergreen State College,evergreen.edu
College of Saint Thomas More,fishermore.edu
Florida Metropolitan University,fmu.edu
Franciscan School of Theology,fst.edu
Fuller Theological Seminary,fuller.edu
York University,futurestudents.yorku.ca
Augusta State University,gru.edu
Medical College of Georgia,gru.edu
Georgia Southwestern State University,gsw.edu
Graduate Theological Union,gtu.edu
Pennsylvania State University Harrisburg,harrisburg.psu.edu
University of Hawaii Hilo,hilo.hawaii.edu
SUNY College at Fredonia,home.fredonia.edu
Hobe Sound Bible College,hsbc.edu
Huston-Tillotson University,htu.edu
Hebrew Union College-Jewish Institute of Religion,huc.edu
University of Illinois Urbana-Champaign,illinois.edu
Illinois State University,illinoisstate.edu
Institute for the Psychological Sciences,ipsciences.edu
Florida Christian College,johnsonu.edu
Keuka College,keuka.edu
Kentucky State University,kysu.edu
La Sierra University,lasierra.edu
University of La Verne,laverne.edu
Pennsylvania State University Dickinson School of Law,law.psu.edu
Franklin Pierce Law Center,law.unh.edu
Life Pacific College,lifepacific.edu
Ohio State University Lima,lima.osu.edu
Arnold and Marie Schwartz College of Pharmacy and Health Sciences,liu.edu
Long Island University Brentwood Campus,liu.edu
Long Island University C.W. Post Campus,liu.edu
Long Island University Rockland Graduate Campus,liu.edu
University of Louisville,louisville.edu
University of Maine Machias,machias.edu
University of New Hampshire at Manchester,manchester.unh.edu
Manhattan College,manhattan.edu
University of Hawaii Manoa,manoa.hawaii.edu
Ohio State University Mansfield,mansfield.osu.edu
Memphis College of Art,mca.edu
Minneapolis College of Art and Design,mcad.edu
University of Missouri Columbia,missouri.edu
Pennsylvania State University Mont Alto,montalto.psu.edu
Mountain State University,mountainstate.edu
Mount Saint Mary's University,msmary.edu
Michigan State University,msu.edu
Trinity University,new.trinity.edu
Rutgers University New Brunswick/Piscataway,newbrunswick.rutgers.edu
New College of California,newcollege.edu
Newman University,newmanu.edu
North Central College,northcentralcollege.edu
National University of Singapore,nus.edu.sg
Oklahoma State University Stillwater,okstate.edu
Oregon State University,oregonstate.edu
Ohio State University Marion,osumarion.osu.edu
Parker College of Chiropractic,parker.edu
Patten College,patten.edu
Platt College,plattcollege.edu
Atlanta Christian College,point.edu
Purdue University College of Technology at South Bend/Elkhart,polytechnic.purdue.edu
Purdue University School of Technology at Anderson/Muncie,polytechnic.purdue.edu
Purdue University School of Technology at Columbus/Greensburg,polytechnic.purdue.edu
Purdue University School of Technology at Kokomo,polytechnic.purdue.edu
Purdue University School of Technology at New Albany,polytechnic.purdue.edu
Purdue University School of Technology at Richmond,polytechnic.purdue.edu
"Pennsylvania State University Behrend College, Erie",psbehrend.psu.edu
University of Medicine and Dentistry of New Jersey,rbhs.rutgers.edu
Institute of Paper Science and Technology,rbi1.gatech.edu
Reformed Bible College,reformationbiblecollege.org
Roanoke College,roanoke.edu
Rensselaer Polytechnic Institute,rpi.edu
College of Santa Fe,santafeuniversity.edu
San Diego Christian College,sdcc.edu
South Florida Bible College and Theological Seminary,sfbc.edu
Siena Heights University,sienaheights.edu
Simon's Rock College,simons-rock.edu
Simpson University,simpsonu.edu
John Carroll University,sites.jcu.edu
Southern Illinois University Carbondale,siu.edu
Southern Nazarene University,snu.edu
Washington State University Spokane campus,spokane.wsu.edu
Seattle Pacific University,spu.edu
Episcopal Theological Seminary of the Southwest,ssw.edu
University of Saint Mary,stmary.edu
Sullivan University,sullivan.edu
SUNY College at Buffalo [Buffalo State College],suny.buffalostate.edu
SUNY Institute of Technology at Utica/Rome,sunypoly.edu
Southwestern Baptist Theological Seminary,swbts.edu
University of Sydney,sydney.edu.au
Tabor College,tabor.edu
Texas A and M University Health Science Center,tamhsc.edu
The College of New Jersey,tcnj.pages.tcnj.edu
Troy State University-Florida Region,trojan.troy.edu
Troy University Dothan campus,trojan.troy.edu
Troy University Montgomery campus,trojan.troy.edu
Technische Universitat Dresden,tu-dresden.de
Technische Universitat Bergakademie Freiberg,tu-freiberg.de
Tulane University,tulane.edu
University of Minnesota Twin Cities,twin-cities.umn.edu
Texas Wesleyan University,txwes.edu
University of Arkansas Fort Smith,uafs.edu
University of Alberta,ualberta.ca
University of Central Arkansas,uca.edu
University of California Davis,ucdavis.edu
University of California Irvine,uci.edu
University of Connecticut,uconn.edu
University of California San Diego,ucsd.edu
University of Maine Orono,umaine.edu
University of Manitoba,umanitoba.ca
University of Michigan Dearborn,umdearborn.edu
University of Michigan Ann Arbor,umich.edu
University of Mobile,umobile.edu
University of North Carolina Wilmington,uncw.edu
University of North Dakota,und.edu
North Georgia College and State University,ung.edu
University of Oregon,uoregon.edu
University of Science and Arts of Oklahoma,usao.edu
University of South Carolina Lancaster,usclancaster.sc.edu
University of South Carolina Union,uscunion.sc.edu
United States Sports Academy,ussa.edu
University of Texas San Antonio,utsa.edu
Union Theological Seminary,utsnyc.edu
University of Tulsa,utulsa.edu
University of Waterloo,uwaterloo.ca
University of West Florida,uwf.edu
George Washington University Virginia Campus,virginia.gwu.edu
George Washington University-Virginia Campus,virginia.gwu.edu
