URL,shanghai,usnews2016,qsworld2015
www.lboro.ac.uk,,,301-400
www.le.ac.uk,,,301-400
www.leeds.ac.uk,151-200,,251-300
www.leidenuniv.nl,101-150,,251-300
www.liu.se,,,251-300
www.liv.ac.uk,,,151-200
www.lse.ac.uk,,,51-100
www.lsu.edu,,101,
www.lunduniversity.lu.se,,,201-250
www.maastrichtuniversity.nl,,,301-400
www.manchester.ac.uk,76-100 ,,48
www.massey.ac.nz,,,201-250
www.maynoothuniversity.ie,,,301-400
www.mcgill.ca,76-100 ,,50
www.mcmaster.ca,,,251-300
www.metu.edu.tr,,,201-250
www.mines.edu,,101,
www.mines-telecom.fr,,,251-300
www.mmu.edu.my,,,201-250
www.monash.edu,101-150,,51-100
www.mst.edu,,112,
www.msu.ru,,,51-100
www.nccu.edu.tw,,,201-250
www.nchu.edu.tw,,,301-400
www.ncl.ac.uk,,,201-250
www.ncsu.edu,101-150,48,151-200
www.nctu.edu.tw,51-75 ,,101-150
www.ncu.edu.tw,151-200,,151-200
www.nd.edu,,60,301-400
www.neu.edu.cn,151-200,,
www.newcastle.edu.au,,,151-200
www.njit.edu,76-100 ,90,
www.njtu.edu.cn,,,301-400
www.nju.edu.cn,101-150,,151-200
www.northeastern.edu,,60,151-200
www.northwestern.edu,37,34,101-150
www.nottingham.ac.uk,,,151-200
www.nps.edu,,70,
www.npu.edu,151-200,,
www.nsu.ru,,,301-400
www.nsysu.edu.tw,151-200,,201-250
www.nthu.edu.tw,151-200,,51-100
www.ntnu.edu.tw,,,301-400
www.ntnu.no,,,151-200
www.ntua.gr,151-200,,101-150
www.ntu.edu.sg,28,,21
www.ntu.edu.tw,22,,46
www.nudt.edu.cn,101-150,,
www.nuigalway.ie,,,101-150
www.nust.edu.pk,,,301-400
www.nyu.edu,34,70,32
www.ohsu.edu,,90,
www.oia.hokudai.ac.jp,,,301-400
wwwold.dlut.edu.cn,101-150 ,,
www.open.ac.uk,,,301-400
www.osaka-u.ac.jp,,,51-100
www.osu.edu,22,34,101-150
www.otago.ac.nz,,,101-150
www.ou.edu,,112,
www.oulu.fi,,,301-400
www.ox.ac.uk,25,,3
www.parisdescartes.fr,,,301-400
www.pitt.edu,151-200,52,151-200
www.polimi.it,151-200,,43
www.polito.it,101-150,,51-100
www.polytechnique.edu,151-200,,101-150
www.polyu.edu.hk,51-75 ,,51-100
www.portal.pwr.wroc.pl,,,301-400
www.postech.ac.kr,,,51-100
www.princeton.edu,5,8,9
www.psu.edu,51-75 ,29,51-100
www.puc-rio.br,,,151-200
www.purdue.edu,21,20,51-100
www.pusan.ac.kr,,,301-400
www.pw.edu.pl,,,251-300
www.qmul.ac.uk,,,201-250
www.qub.ac.uk,,,201-250
www.queensu.ca,,,201-250
www.qut.edu.au,,,101-150
www.reading.ac.uk,,,301-400
www.rice.edu,51-75 ,20,201-250
www.rmit.com,,,51-100
www.rochester.edu,,52,301-400
www.royalholloway.ac.uk,,,251-300
www.ruc.edu.cn,,,301-400
www.rug.nl,151-200,,251-300
www.ruhr-uni-bochum.de,,,301-400
www.ru.nl,,,301-400
www.rutgers.edu,44,34,201-250
www.rwth-aachen.de,151-200,,51-100
www.sc.edu,,101,
www.seu.ac.bd,101-150,,
www.sfu.ca,49,,101-150
www.sharif.ir,151-200,,
www.sheffield.ac.uk,151-200,,201-250
www.shu.edu.cn,,,301-400
www.smu.edu,,112,151-200
www.smu.edu.sg,,,151-200
www.snu.ac.kr,101-150,,42
www.sogang.ac.kr,,,301-400
www.southampton.ac.uk,101-150,,51-100
www.st-andrews.ac.uk,,,251-300
www.stanford.edu,1,1,2
www.stevens.edu,,101,
www.stonybrook.edu,76-100 ,40,
www.strath.ac.uk,,,301-400
www.surrey.ac.uk,101-150,,251-300
www.su.se,,,251-300
www.sussex.ac.uk,,,301-400
www.swansea.ac.uk,151-200,,
www.swinburne.edu.au,,,201-250
www.syr.edu,,67,
www.sysu.edu.cn,101-150,,301-400
www.tamu.edu,51-75 ,40,151-200
www.tcd.ie,,,51-100
www.technion.ac.il,18,,51-100
www.temple.edu,,112,
www.titech.ac.jp,,,51-100
www.tohoku.ac.jp,,,151-200
www.tongji.edu.cn,101-150,,
www.transint.boun.edu.tr,,,251-300
www.tsinghua.edu.cn,27,,38
www.tsukuba.ac.jp,,,251-300
www.tu-berlin.de,,,51-100
www.tu-darmstadt.de,,,101-150
www.tudelft.nl,101-150,,51-100
www.tu-dortmund.de,,,201-250
www.tue.nl,51-75 ,,101-150
www.tufts.edu,,70,
www.tugraz.at,,,251-300
www.tum.de,30,,32
www.tut.fi,,,301-400
www.tuwien.ac.at,76-100 ,,51-100
www.uab.cat,151-200,,
www.uantwerpen.be,151-200,,301-400
www.uba.ar,,,251-300
www.ubc.ca,41,,24
www.ub.edu,,,101-150
www.u-bordeaux1.fr,101-150,,
www.uc3m.es,151-200,,151-200
www.ucalgary.ca,151-200,,151-200
www.ucc.ie,,,201-250
www.uc.cl,,,151-200
www.ucd.ie,,,101-150
www.uc.edu,,112,
www.ucf.edu,,90,
www.uchicago.edu,,34,47
www.uchile.cl,,,101-150
www.ucl.ac.uk,40,,23
